question_number;question_level;question_description;correct_answer_4;fake_answer_1;fake_answer_2;fake_answer_3;
1;1;najwyzszy szczyt na swiecie to:;Mount Everest;Rysy;Mont Blanc;K2;
2;2;Najwieksza wyspa na swiecie to:;Grenlandia;Madagaskar;Wyspa Wielkanocna;Korsyka;
3;1;Ile wynosi silnia 3?;6;3;0;9;
4;6;Najglebsze jeziora swiata to:;Bajkal;hancza;Morze Kaspijskie;Morze martwe;
5;1;Kto byl pierwszym krolem Polski?;Boleslaw Chrobry;Wladyslaw Lokietek;Mieszko 2;Kazimierz Wielki;
6;1;Kto napisal Quo Vadis?;Henryk Sienkiewicz;Boleslaw Prus;Jan Kochanowski;Fiodor Dostojewski;
7;3;Kim nie byl Jozef Oleksy?;ministrem sprawiedliwosci;marszalkiem sejmu;premierem;ministrem spraw wewnetrznych;
8;4;Jakie jest najszybsze zwierze ladowe?;gepard;lampart;jaguar;antylopa gnu;
9;5;Ile wynosi w przyblizeniu liczba pi?;3.14;3.12;2.7;3.17;
10;6;Jaki jest kat miedzy atomami wodoru w czasteczce wody?;102st.;90st.;33st.;167st.;
11;7;Ile HBO wydalo sezonow serialu Gra o tron?;8;6;5;4;
12;8;Ile przedsionkow zawiera ludzkie serce?;2;1;4;3;
13;9;Najciezszym metalem jest:;zloto;olow;miedz;zelazo;
14;10;W ktorej czesci avengers zginal Tony Stark?;Koniec gry;Czas ultrona;Wojna bez granic;Avengers 1;
15;3;Poznan lezy nad:;Warta;Wisla;Odra;Bogiem;
16;2;Kim jest ojciec Gambola?;Krolikiem;Malpa;Kotem;Sowa;
